vx,vy
0.319386486244282,-0.09540898796334916
0.6420120847690667,-0.17921730668185865
0.9728580711039484,-0.21987275960039415
0.991276212006709,-0.1319056239233475
0.990888285594455,-0.13466042890968924
0.9940755893384453,-0.10892088475027933
0.8045363518059775,-0.12520229646858994
0.5115856148018686,-0.02477839014775786
0.23902131165417012,-0.0809645746232058
-0.027227043087150626,0.009967983258772711
0.0021414010345622743,-0.0016121107409469409
-0.00023892749705528354,0.00019759857992609218
2.816427829201645e-05,-2.3298508659858963e-05
-3.320226447673298e-06,2.7469372253377202e-06
3.914963949907086e-07,-3.2378571648799944e-07
-4.613449222840608e-08,3.81932798742238e-08
5.4362454050728194e-09,-4.5055307809546595e-09
-6.40585158043974e-10,5.314984117433508e-10
7.548570264876838e-11,-6.269763557166557e-11
-8.896280011827701e-12,7.39404830104769e-12
1.0508083375870582e-12,-8.720401273330662e-13
-1.2344598069373674e-13,1.0574259246221872e-13
1.2828376595495821e-14,-1.5529037079346206e-14
9.332688654404775e-17,3.930493442751072e-15
-2.8311632664875474e-15,-1.3818079326331276e-15
3.0314908144049075e-16,-4.544947715893251e-18
1.3834672301002353e-15,1.3865989121653042e-15
1.3555345016019171e-15,6.67111824321624e-16
4.809660106188871e-16,-2.8924902137065692e-15
-2.4160480535537094e-15,4.315114094385187e-16
-1.9068704630819755e-15,1.3006798231805788e-15
3.658351519650096e-15,-5.533118674535731e-16
4.993344532759399e-17,-4.846011748491241e-16
-2.826616535008773e-15,-3.369828174570603e-16
2.1276479517897615e-15,7.773391612902812e-16
1.2819235932155093e-15,-3.1566081581712543e-16
1.6863319216392936e-15,-8.868222124835342e-16
-4.647698649570498e-15,1.525173875811074e-15
1.4045319595258011e-15,-6.788661981121855e-16
-2.0642762376165167e-15,-8.665804399790633e-16
1.932759192043021e-15,-4.921576356433732e-16
1.4845985479225332e-15,1.1869700182047273e-16
-4.52100614797307e-15,6.69304117514235e-16
6.566133303726032e-15,1.1000089066721081e-15
-4.053956286910725e-15,-1.239410504010467e-15
2.5238811918357954e-15,2.966310345092336e-15
-1.0061111867885369e-15,-1.044358055381773e-15
-2.8431198675434804e-15,-4.590404726751989e-16
7.236189320077574e-16,-1.5666898901205985e-15
5.6099000105321134e-15,6.776024862828154e-16
-1.2490994913401656e-15,1.051684722482948e-15
-3.54693677134828e-15,-8.972335365279628e-16
4.5232574606640904e-15,9.595241732874468e-17
-9.170147241493045e-17,-5.831922011717598e-16
-2.613086299450742e-15,6.975690329886745e-17
-2.6403019305839097e-15,1.112988530083707e-15
7.950210783473453e-16,-5.998850958818905e-17
1.6699966098154745e-15,-4.86346775411747e-16
-3.09105783135724e-15,2.622050933368908e-15
2.5768935691497934e-18,-2.386161129424905e-15
4.727389553773989e-16,-1.6139673268885568e-16
3.262483235734439e-15,6.823773443950039e-18
-5.831729638104866e-15,4.2263857560134143e-16
2.332450405288115e-15,5.962369592023356e-17
3.998457965118215e-15,-1.9422683819467373e-15
-4.764597463740809e-15,1.306799189773533e-15
1.458931716112506e-15,1.168751082086351e-15
2.9032408654728393e-15,-1.6689247283651243e-15
-5.778484415544115e-15,8.434676275698756e-16
1.1737639471582363e-15,9.999670987037273e-16
2.7441346646488297e-15,-8.790615210836944e-16
-4.5838675482245e-15,1.0308773033453627e-16
3.062475142381758e-15,3.0607383822804275e-16
3.784198568582459e-15,4.732279276268849e-16
-2.6978420763314206e-15,-1.782237828195756e-15
-6.385142776491805e-16,1.548628690268902e-15
-8.998508094657245e-16,-9.894360132246627e-16
2.1380149505608865e-15,2.838032361084752e-15
-6.648772140066837e-16,-3.8790791208392534e-15
1.6504674438001596e-16,1.5002221183862258e-15
-9.465427355588094e-16,6.951364570659075e-17
3.0062087573742305e-15,1.2495447689219785e-15
-1.8105415383715727e-15,-1.5384987531978197e-15
2.635555803002257e-15,5.385706192156716e-16
-2.454815336389206e-15,1.5060314776485862e-17
4.136705261016374e-15,1.3521779555615875e-15
-3.729714625463329e-15,-1.184128588461625e-15
4.008889768380872e-16,3.0431772148857895e-16
6.785013042422451e-16,-3.7128566344407585e-16
1.5167453701027593e-15,-7.672808138659485e-16
-2.1691500134813482e-15,1.031814358047896e-15
-1.7165239119665058e-15,3.6365719527416524e-17
5.929187418365014e-15,1.651598217400573e-16
-3.5385363865519663e-15,-1.9053230927792755e-15
1.0443806066559434e-15,1.1309872199729298e-15
1.109933119473387e-15,-7.012191639773394e-16
-2.2826814723321083e-15,-1.265719393578444e-16
-3.604813090837383e-15,3.2248876877560235e-16
4.817506417087843e-15,1.803155078603327e-15
2.568192844490554e-15,-1.5766950055484862e-16
