px,py,nominal_x,nominal_y
2.0,0.75,1.99,0.7475
2.0,0.75,1.98,0.745
2.0,0.75,1.97,0.7425
2.0,0.75,1.96,0.74
2.0,0.75,1.95,0.7375
2.0,0.75,1.94,0.735
2.0,0.75,1.93,0.7325
2.0,0.75,1.92,0.73
2.0,0.75,1.91,0.7275
2.0,0.75,1.9,0.725
2.0,0.75,1.89,0.7225
2.0,0.75,1.88,0.72
2.0,0.75,1.87,0.7175
2.0,0.75,1.8599999999999999,0.715
2.0,0.75,1.85,0.7125
2.0,0.75,1.84,0.71
2.0,0.75,1.83,0.7075
2.0,0.75,1.82,0.705
2.0,0.75,1.81,0.7025
2.0,0.75,1.8,0.7
2.0,0.75,1.79,0.6975
2.0,0.75,1.78,0.695
2.0,0.75,1.77,0.6925
2.0,0.75,1.76,0.69
2.0,0.75,1.75,0.6875
2.0,0.75,1.74,0.685
2.0,0.75,1.73,0.6825
2.0,0.75,1.72,0.6799999999999999
2.0,0.75,1.71,0.6775
2.0,0.75,1.7,0.675
2.0,0.75,1.69,0.6725
2.0,0.75,1.68,0.67
2.0,0.75,1.67,0.6675
2.0,0.75,1.66,0.665
2.0,0.75,1.65,0.6625
2.0,0.75,1.6400000000000001,0.66
2.0,0.75,1.63,0.6575
2.0,0.75,1.62,0.655
2.0,0.75,1.6099999999999999,0.6525
2.0,0.75,1.6,0.65
2.0,0.75,1.5899999999999999,0.6475
2.0,0.75,1.58,0.645
2.0,0.75,1.57,0.6425
2.0,0.75,1.56,0.64
2.0,0.75,1.55,0.6375
2.0,0.75,1.54,0.635
2.0,0.75,1.53,0.6325
2.0,0.75,1.52,0.63
2.0,0.75,1.51,0.6275
2.0,0.75,1.5,0.625
2.0,0.75,1.49,0.6225
2.0,0.75,1.48,0.62
2.0,0.75,1.47,0.6174999999999999
2.0,0.75,1.46,0.615
2.0,0.75,1.45,0.6125
2.0,0.75,1.44,0.61
2.0,0.75,1.43,0.6074999999999999
2.0,0.75,1.42,0.605
2.0,0.75,1.4100000000000001,0.6025
2.0,0.75,1.4,0.6
2.0,0.75,1.3900000000000001,0.5975
2.0,0.75,1.38,0.595
2.0,0.75,1.37,0.5925
2.0,0.75,1.3599999999999999,0.59
2.0,0.75,1.35,0.5875
2.0,0.75,1.3399999999999999,0.585
2.0,0.75,1.33,0.5825
2.0,0.75,1.3199999999999998,0.58
2.0,0.75,1.31,0.5775
2.0,0.75,1.2999999999999998,0.575
2.0,0.75,1.29,0.5725
2.0,0.75,1.28,0.5700000000000001
2.0,0.75,1.27,0.5675
2.0,0.75,1.26,0.565
2.0,0.75,1.25,0.5625
2.0,0.75,1.24,0.56
2.0,0.75,1.23,0.5575
2.0,0.75,1.22,0.5549999999999999
2.0,0.75,1.21,0.5525
2.0,0.75,1.2,0.55
2.0,0.75,1.19,0.5475
2.0,0.75,1.18,0.5449999999999999
2.0,0.75,1.17,0.5425
2.0,0.75,1.1600000000000001,0.54
2.0,0.75,1.15,0.5375
2.0,0.75,1.1400000000000001,0.535
2.0,0.75,1.13,0.5325
2.0,0.75,1.12,0.53
2.0,0.75,1.1099999999999999,0.5275
2.0,0.75,1.1,0.525
2.0,0.75,1.0899999999999999,0.5225
2.0,0.75,1.08,0.52
2.0,0.75,1.0699999999999998,0.5175
2.0,0.75,1.06,0.515
2.0,0.75,1.0499999999999998,0.5125
2.0,0.75,1.04,0.51
2.0,0.75,1.03,0.5075000000000001
2.0,0.75,1.02,0.505
2.0,0.75,1.01,0.5025
2.0,0.75,1.0,0.5
